ID;Deal ID;Contract number;Contract date;Contract expiration date;Duration of the agreement;Comment on contract
gbSBc2hB;433;SERVICE CONTRACT NO. 58;2006-01-12;2020-10-16;;"SERVICE CONTRACT NO. 58 – WEST CALAMIAN
Project description
DOE awarded SC 58 to PNOC EC on 12 January 2006. The SC 58 block is a deep water acreage covering an area of 13,440 km2 located in offshore Northwest Palawan, between SC 38 and SC 57. Nido Petroleum Philippine Pty Ltd. farmed-in in 2006 and acquired 50% participating interest and operatorship.

Brief Background
About 6,500 km of 2D seismic data acquired in 1978 to 1996 are available in the block. To acquire new data Nido Petroleum’s facilitated a large seismic campaign in 2006 and late 2007-early 2008 generating 3,184 km 2D and 4,953 km pseudo 3D seismic data. In 2012, additional 861 km 2D seismic data was acquired. The interpretation of the seismic data resulted in the identification of several prospects and leads. To mitigate exploration risks and identify the most attractive prospect to drill additional G&G activities were conducted such as seabed coring with multi-beam bathymetry in 2010 and the seismic inversion/ amplitude versus offset project in 2011.

In January 2015, DOE granted force majeure to SC 58’s work commitments under Subphase 3 (SP3). The suspension period is effective from 15 December 2014 until the date when DOE notifies Nido Petroleum to commence exploration activities that should be in accordance to the final resolution on the arbitration proceedings between Philippines and China. Following the lifting of the suspension of all exploration activities in the West Philippine Sea on 12 October 2020, DOE lifted the SC 58 Force Majeure effective 16 October 2020.  However, due to the Covid-19 global pandemic and current oil prices, DOE approved a 1-year Force Majeure to SC 58 from 16 October 2020 to 16 October 2021.   "
cLv0IzGI;438;Joint Venture Farming Agreement (25-year) – Eco Global Bio-Oils & Local Farmers;2008;;25;"Parties: Eco Global Bio-Oils, Inc. (Sarangani Bio Corp venture) and individual landowner-farmers in Sarangani

Outgrower contract for jatropha cultivation: Farmers commit their land to jatropha for 25 years. Company provides seedlings, inputs, and training; farmers cultivate and harvest jatropha. Company guarantees purchase of jatropha seeds at ₱2.00–₂.50 per kg. Landowner or family can be employed as on-site supervisor (₱5k monthly) and local labor hired at ₱100/day. Essentially a production-sharing deal: the farmer supplies land/labor, and the company markets the product. (Many such contracts were signed in 2008–09 for pilot areas.)"
8mwOg7Bi;438;Memorandum of Agreement (MOA) – Sarangani Province Support;2008-07;;;Project endorsement and local support agreement: The foreign investors (Japanese & Korean) and SAFI Agro formally presented the project to provincial officials . An MOA was executed signifying the province’s support and possibly outlining incentives (facilitation of permits, identification of suitable lands, etc.). In return, the investors pledged community benefits (e.g. building school facilities and infrastructure in host communities)
BUPd5-wf;438;Land Lease Contracts – PNOC-AFC & Landowners (Malungon);2009;;10;"Terminated Agreement - intended for 10 years:

Parties: PNOC-Alternative Fuels Corp (Philippine state firm) and private landowners in Malungon, Sarangani

Lease of 37 ha for jatropha planting: PNOC-AFC entered a lease with landowners for 37 ha at ₱1,700/ha/yr. PNOC managed the planting on these lands directly (hiring local labor at ₱100/day). This was intended as a pilot/demonstration in partnership with the JV. PNOC’s contract was short-lived – by ~2010 PNOC-AFC withdrew from jatropha, and this lease was presumably canceled or not renewed"
jG2LKSIw;438;Local Lease/Service Contracts – Curcas Oil Phils. Inc. (COPI);;;;"Transfer of farming contracts / new lease agreements: In late 2010, Curcas Oil Philippines Inc. took over existing jatropha plantations. COPI honored or renewed contracts with farmers where jatropha was already planted. They also signed new lease agreements: COPI paid ₱1,000/ha annual rent and undertook field maintenance (valued ₱1,700/ha). This effectively revised the prior JV deals into more straightforward lease/service contracts. COPI’s contracts aimed to continue jatropha cultivation on a smaller scale. These agreements had no fixed end-date publicly, but COPI effectively exited around 2012 when the project was abandoned, rendering these contracts defunct.
"
01c1sXKK;439;;;;4;
ddZbWe8_;443;;;;25;
rJzPR8oQ;450;MPSA No. 266-2008-XIIISMR;2008-07-28;2033-07-28;25;
zkmeNfGA;451;MPSA 261-2008-XIII;2008-03-10;2033;25;
Hsb45-Mt;451;MPSA 305-2009-XIII;2009-12-23;2034-12-23;25;
VaA3Jv4v;456;Memorandum of Understanding on Agricultural and Fisheries Cooperation (Philippines–Qatar);2008-12-14;;;Framework agreement signed during Pres. Arroyo’s state visit to Doha. It established cooperation in agriculture and fisheries, paving the way for Qatar’s proposed investment in 100,000 ha of Philippine farmland. This was a high-level understanding to facilitate agricultural projects (like large land leases for food production) between the two countries. (No specific parcel or lease terms were defined in this MoU.)
PhKun2mR;456;Philippines–Qatar Investment Promotion and Protection Agreement (Bilateral Investment Treaty);2008-12-14;;10;A bilateral investment protection agreement signed alongside the above MoU. It provides rights and guarantees to investors from either country, ensuring any Qatari agricultural venture (like the farm lease) would be protected under international law. This treaty was one of the prerequisites for Qatar when discussing investments. (It was later reaffirmed during President Duterte’s 2017 visit.)
MrsVMQFF;465;Letter of Intent (Proposal);2012-04-01;;;"A letter from Dr. Khalid Abu Al-Saud of Dar Al-Maskukat Trading to the Philippine government proposing a joint venture to lease up to 200,000 ha for rice production for the Saudi market.

"
Jujz5lHm;465;Response Letter (DA Endorsement);2012-05-07;;;An official reply from Agriculture Secretary Proceso Alcala expressing support for the project and agreeing to form a Technical Working Group to study its feasibility. This was an endorsement in principle, not a binding contract
mfhj-UQ9;467;(SP Minutes – Committee);2024-01-25;;;"Parties: Surigao City Government
Committee report to authorize the Mayor to sign a lease agreement with CPFPC for a Swine Farm in Brgy. Quezon; due-diligence visit to an operating swine farm noted."
-M16DTkG;467;Minutes – 29th Regular Session;2024-07-25;;12;"Parties: City of Surigao

Approves PHP 375M loan to acquire a lot & build breeder facilities, to be leased to CPFPC; repayments to come from lease rentals."
Pbc1drZZ;467;BOI Green Lane;2024-11-21;;;"Parties: BOI ↔ CPFPC

Green Lane fast-track for 20 breeding farms (~₱10.55B CAPEX; ~1,250 jobs)."
FDkuIfle;467;MOA (FTI–CPFPC);2025-04-01;;1;"Parties: Food Terminal Inc. & CPFPC
Supply pilot: 100 hogs/day at discounted price to Metro Manila markets via Caloocan slaughterhouse."
Tc0rBm_U;467;MOA (Swine R3);2023-02-10;;;"Parties: DA–DBP–CPFPC

Credit+technical package to build biosecure farms; CPFPC offtake."
jEkXWRwq;469;Board of Investments Registration – San Carlos BioPower (SCBP);2012-12-21;;;Philippine BOI certificate of registration granting incentives and FiT eligibility to SCBP (20 MW biomass project). Enabled fiscal incentives under the Renewable Energy Act.
u_OS_muq;469;EPC Contract 1 – Wuxi Huaguang (China);2014-01-01;2017-01-01;;Engineering, Procurement & Construction contract for San Carlos and South Negros BioPower. Bronzeoak tapped Wuxi Huaguang as the EPC and maintenance contractor initially. This contract was later terminated and replaced due to delays.
lj62IJ3Q;469;EPC Contract 2 – Pöyry Energy (Finland);2017-06-01;2019-06-01;2;New EPC contracts with Pöyry were signed to take over construction of all three biomass plants. Pöyry was hired for South Negros and San Carlos after Wuxi’s contract was canceled, and then for North Negros in June 2018. Pöyry successfully completed the plants by 2019.
ET5MNJIm;469;Feed-in Tariff (FiT) Endorsement;2014-01-01;;20;Government guarantee to purchase power at ₱6.63/kWh (approx) for biomass projects up to 250 MW total. Bronzeoak’s plants were registered to avail the FiT. Extended deadline to end of 2019, which the projects met. (Not a direct contract, but a tariff agreement regulated by ERC and TransCo for 20-year period.)
3T70vwbd;469;Finance Agreement – IFC & Partners;2016-08-01;;15;Loan agreements ($161 million) for the 3 Negros plants. International Finance Corp (World Bank), Canada Climate Change Program, and Clean Technology Fund provided debt to ThomasLloyd and Bronzeoak. This funding is under IFC’s climate finance program, secured by project assets.
E98nygrQ;470;Leaseback with DARBCI (Polomolok Plantation);2008;2048;48;"Dolefil leases 7,805 ha of pineapple plantation land from the DARBCI cooperative (7,534 member-owners) in South Cotabato. ARBs (former Dole employees) retain land titles but grant Dole management rights. Terms: Annual rent ~₱15,737/ha plus ₱983/ha bonus; Dole guaranteed ₱50k/ha net income to ARBs (with cost deductions). Rent escalates 10% every 5 years. Dole paid 5 years rent upfront as advance. Dolefil performs all farming and hires cooperative members as farmworkers"
VJPsVSb8;470;Itochu–Dole Acquisition Agreement;2012-09-17;;;Parties: Dole Food Company, Inc. (USA) and Itochu Corp. (Japan). Itochu acquired Dole’s Asia Fresh produce business and worldwide packaged foods business, including Dole Philippines (Dolefil). Price: $1.685 billion. By this sale, Itochu took ownership of all Dole’s plantations and facilities in Asia. The deal was approved by Dole shareholders and closed in 2013. This is a corporate takeover rather than a land contract, but it set the stage for plantation expansion under Itochu’s strategy.
AlSIlAHo;470;Tripartite Growership MOA (LandBank–LMPC–Dolefil);2022-11-25;;;"An agreement between Land Bank of the Philippines (government bank), LACONON 100 Multi-Purpose Coop (also called T’boli Farm Growers MPC, South Cotabato), and Dolefil. Purpose: To support pineapple contract farming on ~1,400 ha managed by the coop. Terms: LandBank provides credit (e.g., a ₱212.8M loan in 2022) for farm inputs & equipment; Dolefil is the exclusive buyer of the co-op’s pineapples and provides technical assistance throughout the production cycle. Essentially, Dole guarantees market access and quality control, the co-op grows the fruit, and LandBank finances the operation. This MOA, first implemented in 2017, was renewed to continue the partnership, especially after the co-op recovered from prior financial troubles with LandBank’s help."
3rI0Ndcs;470;Local Land/Debt-Swap Agreements;2014;2016;;"Dolefil, during expansion, made informal deals with various individual farmers/landowners: farmers would cede use of their land (via lease or sale) and in exchange Dole would pay off their outstanding debts to banks or loan sharks. This was mentioned by Dole’s corporate affairs director: some landowners offered lands to Dole “in exchange for buying out their indebtedness”. 

These are case-specific arrangements rather than a single contract. Duration/Terms: varied – in most cases Dole then leased the land for long term after clearing the farmer’s mortgage. Such arrangements helped Dole aggregate fragmented farms into the plantation expansion. (No singular contract document, but a pattern of agreements reported in 2014.)"
